Time,Global Temperature Anomaly,Earthquakes with Magnitude 3+,Minor Earthquake,Light Earthquake,Moderate Earthquake,Strong Earthquake,Major Magnitude,Maximum Magnitude,Maximum Depth
1973-01,0.28,370,67,193,101,7,1,7.5,653
1973-02,0.41,369,61,204,95,5,2,7.4,653
1973-03,0.37,382,58,210,105,8,1,7,641
1973-04,0.29,445,63,283,87,10,0,6.7,665
1973-05,0.23,353,80,190,82,1,0,6,662
1973-06,0.23,482,52,267,155,6,2,7.7,648
1973-07,0.16,471,77,234,152,8,0,6.9,633
1973-08,0.12,363,60,188,102,13,0,6.8,634
1973-09,0.1,327,51,175,94,7,0,6.5,652
1973-10,0.07,394,59,229,98,6,1,7,654
1973-11,0.03,364,41,189,128,6,0,6.4,629
1973-12,0.03,135,12,74,47,2,0,6.8,631
1974-01,-0.19,391,80,179,123,7,2,7.2,606
1974-02,-0.24,390,80,174,127,7,1,7.1,611
1974-03,-0.03,380,89,188,95,7,0,6.6,614
1974-04,-0.05,380,63,219,95,2,0,6.1,667
1974-05,-0.02,441,67,250,111,12,0,6.8,678
1974-06,-0.03,425,90,203,121,8,0,6.6,647
1974-07,0.02,492,81,284,119,5,2,7.3,678
1974-08,0.04,543,128,273,135,5,2,7.3,637
1974-09,-0.01,384,86,196,95,5,0,6.7,652
1974-10,-0.07,442,95,237,95,11,3,7.6,623
1974-11,-0.07,387,115,171,91,8,1,7.2,639
1974-12,-0.1,494,165,224,96,7,0,6.9,646
1975-01,0.11,564,221,238,94,7,0,6.8,692
1975-02,0.06,376,72,204,94,3,2,7.6,623
1975-03,0.12,418,103,204,100,10,0,6.9,688
1975-04,0.08,497,113,229,144,10,0,6.5,640
1975-05,0.08,468,102,251,105,6,2,7.9,663
1975-06,0.06,650,124,331,186,8,1,7,655
1975-07,0.03,477,130,210,122,11,2,7.9,637
1975-08,-0.04,601,286,192,113,5,0,6.6,649
1975-09,0.04,399,118,162,110,7,0,6.7,631
1975-10,-0.12,385,95,166,106,13,4,7.8,617
1975-11,-0.16,508,168,196,132,6,1,7.7,628
1975-12,-0.1,565,215,222,118,7,1,7.8,635
1976-01,-0.02,689,127,309,233,13,2,8,634
1976-02,-0.12,433,108,189,125,8,1,7.5,649
1976-03,-0.22,420,109,191,113,6,0,6.8,640
1976-04,0,410,102,206,93,7,1,7,635
1976-05,-0.12,492,125,231,121,11,2,7,661
1976-06,-0.08,450,107,203,129,9,2,7.1,625
1976-07,-0.08,521,91,271,145,10,3,7.5,643
1976-08,-0.05,479,107,214,147,8,1,7.9,636
1976-09,-0.02,478,118,199,155,4,0,6.5,609
1976-10,-0.19,383,73,181,125,2,1,7.1,657
1976-11,-0.03,408,116,158,114,15,1,7.3,679
1976-12,0.1,162,38,76,48,0,0,5.9,596
1977-01,0.13,414,91,184,131,7,0,6.6,653
1977-02,0.26,334,80,151,95,7,0,6.7,646
1977-03,0.31,454,86,229,130,7,2,7.5,657
1977-04,0.29,462,65,233,153,7,4,7.6,647
1977-05,0.26,402,64,211,126,1,0,6,633
1977-06,0.27,399,56,224,114,4,0,6.8,690
1977-07,0.19,373,69,182,115,5,1,7.2,631
1977-08,0.15,458,55,213,176,11,2,8.3,599
1977-09,0.19,434,98,189,138,9,0,6.6,606
1977-10,0.12,467,72,206,182,4,1,7.2,622
1977-11,0.25,446,94,185,158,6,1,7.4,612
1977-12,0.11,391,54,178,153,6,0,6.8,659
1978-01,0.16,407,75,182,142,7,0,6.6,638
1978-02,0.15,378,62,171,138,6,1,7.2,640
1978-03,0.23,627,92,310,207,15,3,7.6,672
1978-04,0.13,431,91,230,102,7,0,6.7,604
1978-05,0.08,458,76,242,133,5,0,6.8,673
1978-06,0.05,439,102,229,97,9,2,7.7,646
1978-07,0.07,411,91,206,109,4,1,7.4,662
1978-08,0.01,409,122,167,112,6,1,7,642
1978-09,0.09,439,106,208,118,6,1,7.4,626
1978-10,0.07,359,108,135,115,0,0,5.9,619
1978-11,0.2,442,93,220,122,5,2,7.7,651
1978-12,0.14,479,87,271,111,8,1,7,695
1979-01,0.15,418,92,213,105,7,0,6.7,581
1979-02,0.05,391,81,191,108,7,1,7.1,638
1979-03,0.23,665,234,302,121,7,1,7.6,621
1979-04,0.11,530,124,291,109,6,0,6.9,648
1979-05,0.17,586,178,269,130,9,0,6.4,622
1979-06,0.21,482,139,232,105,6,0,6.3,652
1979-07,0.2,483,116,254,108,4,0,6.9,609
1979-08,0.24,503,120,280,94,7,1,7.1,650
1979-09,0.25,441,105,231,102,2,1,7.9,662
1979-10,0.29,728,329,241,137,8,2,7.4,635
1979-11,0.29,488,147,230,99,11,1,7.1,655
1979-12,0.52,164,34,71,55,2,1,7.7,605
1980-01,0.33,539,144,260,126,4,0,6.7,616
1980-02,0.39,480,92,261,117,8,1,7,636
1980-03,0.28,657,172,365,110,8,0,6.9,623
1980-04,0.32,727,266,356,100,5,0,6.7,686
1980-05,0.37,1138,645,393,87,11,0,6.4,626
1980-06,0.26,690,262,279,135,12,0,6.8,596
1980-07,0.23,666,235,298,120,10,2,7.9,654
1980-08,0.21,475,147,230,92,4,0,6.4,655
1980-09,0.2,390,123,178,86,3,0,6.5,632
1980-10,0.18,532,118,291,108,12,2,7.3,614
1980-11,0.31,530,148,267,108,5,1,7.2,650
1980-12,0.27,457,129,220,100,7,0,6.8,648
1981-01,0.51,472,102,233,124,11,1,7,654
1981-02,0.4,467,112,248,101,6,0,6.7,629.7
1981-03,0.44,509,151,242,110,5,0,6.4,647.1
1981-04,0.35,473,117,265,83,5,0,6.9,650.9
1981-05,0.27,465,117,246,95,5,1,7.6,608.1
1981-06,0.3,494,133,266,88,7,0,6.7,648.4
1981-07,0.24,571,123,342,98,3,3,7.1,627.1
1981-08,0.24,490,131,281,77,1,0,6,632.2
1981-09,0.18,582,164,308,99,8,1,7.7,644.5
1981-10,0.17,493,167,227,90,7,2,7.3,655.1
1981-11,0.27,447,118,224,94,11,0,6.9,654.1
1981-12,0.48,142,30,79,31,2,0,6.3,580.3
1982-01,0.14,581,171,282,111,16,1,7.1,627.3
1982-02,0.19,449,111,243,93,2,0,6.8,611.3
1982-03,0.1,511,119,256,126,9,0,6.7,607.4
1982-04,0.22,492,121,266,101,4,0,6.5,668.8
1982-05,0.21,532,125,286,117,4,0,6.7,617.4
1982-06,0.14,524,148,267,99,7,2,7.3,622.8
1982-07,0.16,490,101,273,109,4,3,7.1,623
1982-08,0.14,532,142,258,125,5,1,7,612
1982-09,0.24,523,138,247,127,11,0,6.8,622.8
1982-10,0.18,576,156,313,102,2,0,6.2,656.1
1982-11,0.15,441,96,225,115,5,0,6.7,655.6
1982-12,0.43,573,123,270,169,10,1,7.2,653
1983-01,0.53,749,198,382,155,11,2,7,637.8
1983-02,0.49,509,108,277,115,9,0,6.9,600.9
1983-03,0.42,571,119,321,119,9,1,7.6,625.5
1983-04,0.29,584,131,310,132,8,3,7.1,625.4
1983-05,0.31,930,393,370,139,9,1,7.4,676.6
1983-06,0.3,555,134,293,117,11,0,6.9,639.6
1983-07,0.3,689,171,325,183,9,0,6.9,667.2
1983-08,0.36,628,224,262,133,7,1,7.1,655.1
1983-09,0.34,524,157,227,130,9,0,6.7,642.1
1983-10,0.24,487,142,212,114,15,2,7.4,653
1983-11,0.45,568,177,236,141,12,2,7.3,606.7
1983-12,0.28,213,55,90,62,5,1,7,629.6
1984-01,0.29,538,148,259,123,6,2,7.2,617.9
1984-02,0.18,520,143,262,106,8,1,7.6,682
1984-03,0.3,596,163,286,134,9,4,7.4,649.1
1984-04,0.14,598,187,282,116,12,0,6.9,693.8
1984-05,0.31,570,174,263,123,9,1,7.1,597.8
1984-06,0.14,525,143,241,127,11,0,6.9,662.4
1984-07,0.15,570,122,300,142,6,0,6.7,668.6
1984-08,0.19,541,148,259,126,7,1,7.4,656.6
1984-09,0.18,690,183,351,142,14,0,6.8,681.2
1984-10,0.14,644,142,358,130,11,1,7.2,675.6
1984-11,0.06,759,241,370,130,12,4,7.5,686.7
1984-12,-0.08,636,145,357,120,14,0,6.8,677.4
1985-01,0.22,579,131,290,148,10,0,6.9,662.8
1985-02,0.06,532,135,280,113,4,0,6.3,659.1
1985-03,0.2,725,204,308,190,21,2,8,640.9
1985-04,0.15,614,135,337,126,13,3,7.2,655.2
1985-05,0.21,712,214,382,101,13,1,7.2,649
1985-06,0.15,623,145,341,127,10,0,6.7,631.8
1985-07,0.1,639,128,371,124,13,2,7.4,678.1
1985-08,0.16,724,151,411,148,12,1,7,659.1
1985-09,0.14,721,128,413,168,10,2,8,657.4
1985-10,0.14,660,154,363,130,13,0,6.7,700
1985-11,0.13,677,200,330,133,11,3,7.1,687.3
1985-12,0.22,235,61,143,30,1,0,6,653.2
1986-01,0.31,677,178,372,120,6,1,7.1,662.6
1986-02,0.3,525,126,306,86,4,0,6.5,610.1
1986-03,0.3,811,196,454,149,12,0,6.7,640.9
1986-04,0.26,602,158,327,108,8,1,7,630.2
1986-05,0.26,925,188,517,204,14,2,8,684
1986-06,0.24,706,156,392,140,16,2,7.2,650.5
1986-07,0.17,1047,473,425,133,13,0,6.8,689.2
1986-08,0.2,682,191,329,148,11,2,7.5,683.1
1986-09,0.17,637,202,323,101,11,0,6.7,665.2
1986-10,0.22,744,189,362,177,13,2,7.7,643.1
1986-11,0.16,649,169,342,128,7,1,7.4,649.1
1986-12,0.22,581,155,293,121,12,0,6.5,676.6
1987-01,0.32,587,123,332,119,12,1,7,643.5
1987-02,0.5,666,176,338,132,18,1,7.4,662.6
1987-03,0.27,708,152,399,136,17,3,7.6,641.1
1987-04,0.3,619,154,345,108,11,1,7,674.2
1987-05,0.36,606,154,335,102,15,0,6.8,656.5
1987-06,0.33,573,133,306,120,13,1,7.1,619.1
1987-07,0.43,674,194,343,128,8,0,6.7,674
1987-08,0.4,674,217,340,106,8,1,7.2,682.8
1987-09,0.45,598,158,325,97,16,1,7.4,640.6
1987-10,0.35,677,173,358,132,11,3,7.4,650.2
1987-11,0.35,789,356,314,100,16,1,7.9,653.8
1987-12,0.53,359,142,167,44,5,0,6.4,589.5
1988-01,0.56,752,253,360,127,9,1,7,595.8
1988-02,0.44,619,177,281,148,11,2,7.3,651.6
1988-03,0.53,757,234,379,128,10,1,7.8,631.9
1988-04,0.46,675,235,318,113,7,1,7.1,633.4
1988-05,0.41,675,228,326,108,13,0,6.9,675.9
1988-06,0.4,617,204,312,92,8,0,6.7,673.6
1988-07,0.37,673,188,339,131,12,2,7,674.2
1988-08,0.34,720,211,361,132,13,2,7.6,684.1
1988-09,0.34,585,163,303,116,3,0,6.7,645.7
1988-10,0.31,645,246,292,101,4,1,7.1,621.1
1988-11,0.21,633,158,329,130,15,1,7.7,686.7
1988-12,0.34,250,77,123,47,3,0,6.8,670.7
1989-01,0.17,705,212,363,119,9,0,6.7,659.5
1989-02,0.3,698,230,323,133,10,1,7.1,574.6
1989-03,0.35,729,305,309,107,7,0,6.9,631
1989-04,0.29,772,289,356,111,16,0,6.9,685.9
1989-05,0.28,766,237,360,152,13,3,8.02,692.3
1989-06,0.26,624,215,291,113,4,0,6.4,685.9
1989-07,0.32,603,234,290,72,7,0,6.8,643.6
1989-08,0.32,799,298,373,113,15,0,6.6,680.7
1989-09,0.31,646,201,341,92,11,1,7,622.8
1989-10,0.29,873,372,362,123,14,0,6.9,649.3
1989-11,0.23,666,227,294,134,10,1,7.4,663.1
1989-12,0.4,267,97,126,37,6,1,7.1,617.1
1990-01,0.36,669,226,310,122,10,0,6.5,680.6
1990-02,0.41,700,214,359,116,11,0,6.9,637.2
1990-03,0.76,848,306,395,131,11,3,7.6,639.4
1990-04,0.53,905,263,451,167,19,2,7.8,657.3
1990-05,0.47,761,234,396,109,17,5,7.2,652.9
1990-06,0.42,703,212,353,126,10,2,7.4,639.3
1990-07,0.39,903,244,484,164,9,2,7.7,639.7
1990-08,0.39,769,242,387,127,12,1,7.1,677.7
1990-09,0.33,664,193,337,121,13,0,6.7,685.5
1990-10,0.43,682,223,330,123,5,1,7,648.8
1990-11,0.48,692,265,291,128,7,1,7.1,663.5
1990-12,0.42,256,95,113,45,3,0,6.4,600.5
1991-01,0.43,818,296,350,159,12,1,7,684.8
1991-02,0.46,723,298,299,114,10,1,7,644.1
1991-03,0.36,740,262,347,122,9,0,6.6,613.1
1991-04,0.52,825,298,389,121,13,3,7.6,671
1991-05,0.41,742,289,327,114,10,2,7,620.8
1991-06,0.49,807,289,375,133,6,3,7.5,672.1
1991-07,0.42,742,278,348,107,7,1,7,670.2
1991-08,0.37,729,249,345,126,8,1,7,610.2
1991-09,0.35,676,246,334,89,6,1,7,604.4
1991-10,0.29,759,260,363,124,11,1,7.2,623
1991-11,0.3,706,263,354,74,13,1,7.2,667
1991-12,0.28,310,116,147,43,4,0,6.5,671.9
1992-01,0.45,808,346,357,102,3,0,6.7,672.8
1992-02,0.43,692,230,353,97,12,0,6.8,661.1
1992-03,0.44,874,336,400,118,16,0,6.9,628.2
1992-04,0.31,1121,613,387,95,16,1,7.2,623.5
1992-05,0.32,1213,526,535,126,17,4,7.3,696
1992-06,0.27,1386,713,513,134,14,1,7.3,649.7
1992-07,0.11,1370,771,433,136,13,1,7.2,668
1992-08,0.11,941,377,426,115,19,1,7.3,647.3
1992-09,0.05,945,325,459,141,14,1,7.7,669.8
1992-10,0.05,910,319,429,139,20,2,7.4,657.6
1992-11,0.04,1060,488,437,123,11,0,6.7,655.8
1992-12,0.25,371,146,159,61,4,1,7.8,611.2
1993-01,0.36,830,358,354,106,8,1,7.6,663.8
1993-02,0.38,837,331,394,109,3,0,6.6,639.4
1993-03,0.41,1035,404,479,136,15,1,7.1,653.8
1993-04,0.31,931,396,417,109,9,0,6.9,615.1
1993-05,0.35,975,402,427,128,14,2,7,685.3
1993-06,0.33,800,297,381,108,13,1,7.5,595.8
1993-07,0.27,1006,393,475,127,10,1,7.7,665.6
1993-08,0.22,917,351,440,108,14,3,7.8,645.9
1993-09,0.18,986,378,445,141,20,1,7.2,679.2
1993-10,0.22,935,406,404,110,15,0,6.9,680.9
1993-11,0.07,818,331,376,100,8,1,7,656.9
1993-12,0.27,358,143,145,66,3,0,6.9,634.1
1994-01,0.26,1144,687,330,100,10,1,7,619.7
1994-02,0.07,799,376,315,89,17,1,7,654.3
1994-03,0.38,806,367,352,78,6,2,7.6,658.2
1994-04,0.36,739,309,316,102,12,0,6.9,629.8
1994-05,0.4,1021,462,413,130,16,0,6.9,684.1
1994-06,0.4,942,370,389,165,15,2,8.2,650
1994-07,0.31,896,380,382,125,6,2,7.3,648.8
1994-08,0.3,933,407,374,138,13,0,6.6,682
1994-09,0.33,1028,537,364,113,12,1,7.1,681.3
1994-10,0.42,1217,353,610,231,21,2,8.3,652.2
1994-11,0.45,907,453,321,126,6,1,7.1,684.9
1994-12,0.42,311,158,110,39,4,0,6.5,640.2
1995-01,0.56,1135,415,566,138,14,1,7,690.1
1995-02,0.73,1044,395,512,118,17,1,7.1,685.5
1995-03,0.5,955,365,497,83,9,0,6.9,650
1995-04,0.45,1220,326,757,113,22,2,7.4,656.5
1995-05,0.37,1450,441,839,149,18,3,7.7,658.6
1995-06,0.46,1185,464,621,90,10,0,6.8,653.7
1995-07,0.42,1041,263,670,94,12,2,8,638.8
1995-08,0.5,1201,376,701,100,20,3,7.7,653.9
1995-09,0.4,1066,443,533,79,10,1,7.4,675.5
1995-10,0.44,1345,439,787,93,22,4,8,656.8
1995-11,0.45,1247,489,667,79,11,1,7.2,641.9
1995-12,0.33,900,284,501,103,11,1,7.9,621.1
1996-01,0.25,1573,713,766,84,8,1,7.9,655.6
1996-02,0.46,1716,631,960,101,20,4,8.09,662.7
1996-03,0.35,1284,428,752,86,17,0,6.8,650
1996-04,0.27,1104,442,576,81,2,2,7.2,639.2
1996-05,0.39,1114,432,621,51,10,0,6.6,618.6
1996-06,0.35,1410,447,836,108,14,5,7.9,676.3
1996-07,0.33,1359,539,722,75,11,1,7,650
1996-08,0.35,1143,369,647,113,12,1,7.4,651.9
1996-09,0.25,1159,227,748,170,14,0,6.9,678.1
1996-10,0.21,1094,273,694,113,14,0,6.9,685.4
1996-11,0.29,1175,242,778,137,17,1,7.7,650
1996-12,0.38,432,157,232,37,6,0,6.7,606.2
1997-01,0.34,977,334,545,91,4,2,7.2,651.2
1997-02,0.44,1022,443,514,55,8,1,7.1,650
1997-03,0.5,1293,444,735,106,8,0,6.9,650
1997-04,0.42,1328,397,792,120,16,1,7.7,700
1997-05,0.42,1156,395,656,84,16,2,7.3,700
1997-06,0.53,825,247,493,78,7,0,6.5,603.2
1997-07,0.5,1081,325,654,89,12,1,7,650
1997-08,0.55,952,287,585,69,11,0,6.6,650
1997-09,0.61,1041,404,557,69,10,1,7,650
1997-10,0.64,1192,459,625,97,8,3,7.8,617.3
1997-11,0.59,1337,447,787,91,9,3,7.5,650
1997-12,0.63,803,170,540,86,5,1,7.8,630
1998-01,0.6,1336,595,639,85,13,2,7.5,650
1998-02,0.87,1128,487,572,64,5,0,6.8,678.9
1998-03,0.68,1273,576,598,90,7,2,8.1,600
1998-04,0.76,1225,587,569,60,8,1,7,650
1998-05,0.7,1395,599,682,100,13,1,7.5,700
1998-06,0.73,1155,535,544,65,8,0,6.4,600.6
1998-07,0.74,1388,606,693,74,12,2,7,662.1
1998-08,0.71,1241,509,639,81,10,2,7.2,650
1998-09,0.52,1139,462,592,74,11,0,6.8,658.9
1998-10,0.48,1168,468,596,97,7,0,6.6,694
1998-11,0.42,1193,500,596,86,8,2,7.7,656.4
1998-12,0.59,380,157,191,31,1,0,6.6,650
1999-01,0.51,1162,497,569,86,9,1,7,700
