Time,Global Temperature Anomaly,Earthquakes with Magnitude 3+,Minor Earthquake 3.0 - 3.9M,Light Earthquake 4.0 - 4.9M,Moderate Earthquake 5.0 - 5.9M,Strong Earthquake 6.0 - 6.9M,Major Magnitude 7M+,Maximum Magnitude,Maximum Depth
1973-01,0.28,24,2,11,11,0,0,5.6,151
1973-02,0.41,20,4,12,3,0,1,7.4,277
1973-03,0.37,13,2,5,6,0,0,5.4,228
1973-04,0.29,19,2,13,4,0,0,5.2,243
1973-05,0.23,11,0,9,2,0,0,5.9,234
1973-06,0.23,15,0,6,9,0,0,5.4,220
1973-07,0.16,24,4,12,7,1,0,6.9,262
1973-08,0.12,16,1,8,5,2,0,6.4,239
1973-09,0.1,16,0,8,8,0,0,5.5,200
1973-10,0.07,14,1,7,6,0,0,5.5,228
1973-11,0.03,10,0,7,3,0,0,5.2,211
1973-12,0.03,8,0,5,3,0,0,5.2,170
1974-01,-0.19,8,1,6,1,0,0,5.7,159
1974-02,-0.24,8,0,5,3,0,0,5.4,193
1974-03,-0.03,13,2,8,3,0,0,5.7,224
1974-04,-0.05,11,1,6,4,0,0,5.2,168
1974-05,-0.02,22,2,15,4,1,0,6.8,243
1974-06,-0.03,22,5,8,9,0,0,5.5,231
1974-07,0.02,22,1,14,6,1,0,6.5,233
1974-08,0.04,27,1,15,11,0,0,5.4,332
1974-09,-0.01,16,1,11,4,0,0,5.6,231
1974-10,-0.07,14,1,10,3,0,0,5.9,262
1974-11,-0.06,9,0,6,3,0,0,5.2,195
1974-12,-0.1,22,0,13,8,1,0,6.2,226
1975-01,0.11,30,2,19,6,3,0,6.8,236
1975-02,0.06,20,1,13,6,0,0,5.9,241
1975-03,0.12,20,0,10,10,0,0,5.8,222
1975-04,0.08,25,0,18,6,1,0,6.3,229
1975-05,0.08,33,7,19,6,1,0,6.1,257
1975-06,0.06,24,2,14,8,0,0,5.8,225
1975-07,0.03,24,4,14,5,1,0,6.5,234
1975-08,-0.04,15,3,11,1,0,0,5.2,226
1975-09,0.04,20,3,13,4,0,0,5.1,219
1975-10,-0.12,29,4,20,3,2,0,6.7,230
1975-11,-0.16,18,4,10,4,0,0,5.2,238
1975-12,-0.1,24,1,15,8,0,0,5.4,237
1976-01,-0.02,19,2,12,5,0,0,5.4,223
1976-02,-0.12,26,7,13,6,0,0,5.2,246
1976-03,-0.22,26,8,16,2,0,0,5.6,243
1976-04,0,12,2,9,1,0,0,5.5,267
1976-05,-0.12,28,3,18,4,2,1,7,218
1976-06,-0.08,24,3,17,4,0,0,5.9,228
1976-07,-0.08,29,9,14,4,2,0,6.3,255
1976-08,-0.05,33,8,18,3,4,0,6.9,241
1976-09,-0.02,33,8,15,10,0,0,5.5,289
1976-10,-0.19,22,0,15,7,0,0,5.2,264
1976-11,-0.03,21,0,14,5,2,0,6.5,261
1976-12,0.11,16,0,13,3,0,0,5.9,223
1977-01,0.13,19,0,12,6,1,0,6.3,218
1977-02,0.26,16,0,9,7,0,0,5.4,220
1977-03,0.31,23,0,17,6,0,0,5.2,201
1977-04,0.29,17,1,12,4,0,0,5.4,274
1977-05,0.26,15,0,10,5,0,0,5.7,237
1977-06,0.27,16,1,12,3,0,0,5.5,210
1977-07,0.19,19,0,14,5,0,0,5.5,257
1977-08,0.15,22,0,21,1,0,0,5.1,235
1977-09,0.19,13,0,11,2,0,0,5.1,213
1977-10,0.12,14,0,12,2,0,0,5.2,257
1977-11,0.25,21,1,18,1,1,0,6.5,255
